Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Катерина Смірнова,Розумне малятко. На фермі,Українська,,,,УЛА,2016.0,9789662843194.0,Дозвілля і творчість дітей
Василь Федієнко,Що у кого на обід? Книжка схованка (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2014.0,9789664292174.0,Вірші для дітей
,Чудо-наліпки. Жива абетка.,Українська,,,,УЛА,2015.0,9789662842456.0,Книжки з наліпками
,"Книжка-гра. Кмітливе жабеня. Доміно, пазли, лічилки, кросворди, загадки",,,,,УЛА,,9789662843279.0,Лабіринти. Головоломки
Осадко Г.,Пластилінові загадки.,Українська мова,,,,Богдан,2012.0,9789661025614.0,Загадки. Жарти
,Нагадайка. Машини-помічниці,,,,,УЛА Геймз,,9786177576500.0,Перше самостійне читання
Всеволод Нестайко,Удивительные приключения в лесной школе (1): Солнце среди ночи. Приключения в Паутинии (мінімальний брак),російська,,,,Видавничий дім Школа,,9789664290392.0,Дорослішання. Статеве виховання Дітям 7-9 років
,Транспорт,Українська мова,,,,Сова,2018.0,9786177686322.0,Казки для дітей
Олкотт Л.М.,Хлопчики Джо,Українська мова,,,,Фоліо,2020.0,9789660393622.0,Класика дитячої літератури
,О транспорте (Моя первая книга),російська,,,,Пегас,2016.0,9789669135360.0,Енциклопедії для дітей
,О домашних животных (Моя первая книга),російська,,,,Пегас,,9789669135308.0,Енциклопедії для дітей
Барзотти Э.,Цікаве всередині: Місто,,,,,Талант,2020.0,9789669358820.0,Книжки з віконцями
Барзотти Э.,Цікаве всередині: Динозаври (укр),,,,,Талант,2022.0,9789669890122.0,Книжки з віконцями
Ганс Кристіан Андерсен,Улюблені казки малюка/6нов (240с),Українська,,,,Пегас,2018.0,9786177084395.0,Казки для дітей
Джавахидзе Н.,Улюблена бібліотека: Динозаври,Українська мова,,,,Талант,2019.0,9789669358554.0,Книжки з віконцями
Баум Л.Ф.,Смарагдове місто Країни Оз,Українська мова,,,,Фоліо,2020.0,9789660390690.0,Класика дитячої літератури
,Счёт (Моя первая книга),російська,,,,Пегас,2017.0,9789669137814.0,Ранній розвиток
Енід Блайтон,Славетна п'ятірка. П'ятеро тікають разом,Українська мова,,,,Фоліо,2021.0,9789660395190.0,Детективи для дітей
,Скоро до школи: Цифри і лічба (укр),,,,,Талант,2021.0,9789669359728.0,Вчимо цифри. Лічба
